1,AS/1,AS/1/ID,AS/1/LABEL,AS/2,AS/2/ID,AS/2/LABEL,AS/3,AS/3/ID,AS/3/LABEL,AS/4,AS/4/ID,AS/4/LABEL,AS/5,AS/5/ID,AS/5/LABEL,AS/6,AS/6/ID,AS/6/LABEL,AS/7,AS/7/ID,AS/7/LABEL,AS/8,AS/8/ID,AS/8/LABEL,AS/9,AS/9/ID,AS/9/LABEL,AS/10,AS/10/ID,AS/10/LABEL,AS/11,AS/11/ID,AS/11/LABEL,AS/12,AS/12/ID,AS/12/LABEL,CT/1 - Sources,BGene/1,NV notes
16,cell,CL:0000000,cell,neural cell,CL:0002319,neural cell,neuron,CL:0000540,neuron,,,,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
17,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,hematopoietic precursor cell,CL:0008001,hematopoietic precursor cell,hematopoietic oligopotent progenitor cell,CL:0002032,hematopoietic oligopotent progenitor cell,"hematopoietic oligopotent progenitor cell, lineage-negative",CL:0001060,"hematopoietic oligopotent progenitor cell, lineage-negative",CD7-negative lymphoid progenitor OR granulocyte monocyte progenitor,CL:0001012,CD7-negative lymphoid progenitor OR granulocyte monocyte progenitor,granulocyte monocyte progenitor cell,CL:0000557,granulocyte monocyte progenitor cell,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
18,cell,CL:0000000,cell,connective tissue cell,CL:0002320,connective tissue cell,pericyte,CL:0000669,pericyte,renal interstitial pericyte,CL:1001318,renal interstitial pericyte,mesangial cell,CL:0000650,mesangial cell,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
19,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,mature T cell,CL:0002419,mature T cell,mature alpha-beta T cell,CL:0000791,mature alpha-beta T cell,"CD4-positive, alpha-beta T cell",CL:0000624,"CD4-positive, alpha-beta T cell","CD4-positive, alpha-beta memory T cell",CL:0000897,"CD4-positive, alpha-beta memory T cell",,,,,,,azimuth,sc_transcriptomics,
20,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,mature T cell,CL:0002419,mature T cell,mature alpha-beta T cell,CL:0000791,mature alpha-beta T cell,"CD8-positive, alpha-beta T cell",CL:0000625,"CD8-positive, alpha-beta T cell","CD8-positive, alpha-beta memory T cell",CL:0000909,"CD8-positive, alpha-beta memory T cell","CD8-positive, alpha-beta memory T cell, CD45RO-positive",CL:0001203,"CD8-positive, alpha-beta memory T cell, CD45RO-positive","effector memory CD8-positive, alpha-beta T cell",CL:0000913,"effector memory CD8-positive, alpha-beta T cell",azimuth,sc_transcriptomics,
21,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,lymphocyte of B lineage,CL:0000945,lymphocyte of B lineage,B cell,CL:0000236,B cell,"B cell, CD19-positive",CL:0001201,"B cell, CD19-positive",mature B cell,CL:0000785,mature B cell,memory B cell,CL:0000787,memory B cell,unswitched memory B cell,CL:0000970,unswitched memory B cell,,,,azimuth,sc_transcriptomics,
22,cell,CL:0000000,cell,muscle cell,CL:0000187,muscle cell,striated muscle cell,CL:0000737,striated muscle cell,cardiac muscle cell,CL:0000746,cardiac muscle cell,regular cardiac myocyte,CL:0002098,regular cardiac myocyte,regular ventricular cardiac myocyte,CL:0002131,regular ventricular cardiac myocyte,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
23,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,respiratory tract epithelial cell,CL:0002368,respiratory tract epithelial cell,respiratory tract secretory epithelial cell,CL:0008055,respiratory tract secretory epithelial cell,respiratory tract goblet cell,CL:0002370,respiratory tract goblet cell,nasal mucosa goblet cell,CL:0002480,nasal mucosa goblet cell,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
24,cell,CL:0000000,cell,connective tissue cell,CL:0002320,connective tissue cell,stromal cell,CL:0000499,stromal cell,fibroblast,CL:0000057,fibroblast,reticular cell,CL:0000432,reticular cell,fibroblastic reticular cell,CL:0009101,fibroblastic reticular cell,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
25,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,lymphocyte of B lineage,CL:0000945,lymphocyte of B lineage,B cell,CL:0000236,B cell,"B cell, CD19-positive",CL:0001201,"B cell, CD19-positive",mature B cell,CL:0000785,mature B cell,germinal center B cell,CL:0000844,germinal center B cell,centrocyte,CL:0009111,centrocyte,,,,azimuth,sc_transcriptomics,
26,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,renal cortical epithelial cell,CL:0002584,renal cortical epithelial cell,kidney corpuscule cell,CL:1000612,kidney corpuscule cell,glomerular cell,CL:1000746,glomerular cell,kidney glomerular epithelial cell,CL:1000510,kidney glomerular epithelial cell,epithelial cell of glomerular capsule,CL:1000450,epithelial cell of glomerular capsule,parietal epithelial cell,CL:1000452,parietal epithelial cell,,,,,,,,,,azimuth,sc_transcriptomics,
27,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,renal cortical epithelial cell,CL:0002584,renal cortical epithelial cell,kidney cortex tubule cell,CL:1000615,kidney cortex tubule cell,kidney connecting tubule epithelial cell,CL:1000768,kidney connecting tubule epithelial cell,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
28,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,nephron tubule epithelial cell,CL:1000494,nephron tubule epithelial cell,epithelial cell of distal tubule,CL:0002305,epithelial cell of distal tubule,macula densa epithelial cell,CL:1000850,macula densa epithelial cell,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
29,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,nephron tubule epithelial cell,CL:1000494,nephron tubule epithelial cell,epithelial cell of proximal tubule,CL:0002306,epithelial cell of proximal tubule,brush border cell of the proximal tubule,CL:0002307,brush border cell of the proximal tubule,kidney proximal convoluted tubule epithelial cell,CL:1000838,kidney proximal convoluted tubule epithelial cell,epithelial cell of proximal tubule segment 2,CL:4030010,epithelial cell of proximal tubule segment 2,,,,,,,,,,azimuth,sc_transcriptomics,
30,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,mononuclear phagocyte,CL:0000113,mononuclear phagocyte,dendritic cell,CL:0000451,dendritic cell,lung migratory dendritic cell,CL:4033045,lung migratory dendritic cell,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
31,cell,CL:0000000,cell,precursor cell,CL:0011115,precursor cell,progenitor cell,CL:0011026,progenitor cell,hematopoietic stem cell,CL:0000037,hematopoietic stem cell,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
32,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,respiratory tract epithelial cell,CL:0002368,respiratory tract epithelial cell,epithelial cell of lower respiratory tract,CL:0002632,epithelial cell of lower respiratory tract,epithelial cell of lung,CL:0000082,epithelial cell of lung,pulmonary alveolar epithelial cell,CL:0000322,pulmonary alveolar epithelial cell,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
33,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,mature T cell,CL:0002419,mature T cell,mature alpha-beta T cell,CL:0000791,mature alpha-beta T cell,"CD4-positive, alpha-beta T cell",CL:0000624,"CD4-positive, alpha-beta T cell","CD4-positive, alpha-beta memory T cell",CL:0000897,"CD4-positive, alpha-beta memory T cell","CD4-positive, alpha-beta memory T cell, CD45RO-positive",CL:0001204,"CD4-positive, alpha-beta memory T cell, CD45RO-positive","effector memory CD4-positive, alpha-beta T cell",CL:0000905,"effector memory CD4-positive, alpha-beta T cell",azimuth,sc_transcriptomics,
