1,AS/1,AS/1/ID,AS/1/LABEL,AS/2,AS/2/ID,AS/2/LABEL,AS/3,AS/3/ID,AS/3/LABEL,AS/4,AS/4/ID,AS/4/LABEL,AS/5,AS/5/ID,AS/5/LABEL,AS/6,AS/6/ID,AS/6/LABEL,AS/7,AS/7/ID,AS/7/LABEL,AS/8,AS/8/ID,AS/8/LABEL,AS/9,AS/9/ID,AS/9/LABEL,AS/10,AS/10/ID,AS/10/LABEL,AS/11,AS/11/ID,AS/11/LABEL,AS/12,AS/12/ID,AS/12/LABEL,CT/1 - Sources,BGene/1,NV notes
189,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,myeloid leukocyte,CL:0000766,myeloid leukocyte,monocyte,CL:0000576,monocyte,non-classical monocyte,CL:0000875,non-classical monocyte,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
190,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,lymphocyte of B lineage,CL:0000945,lymphocyte of B lineage,antibody secreting cell,CL:0000946,antibody secreting cell,plasma cell,CL:0000786,plasma cell,long lived plasma cell,CL:0000974,long lived plasma cell,IgA plasma cell,CL:0000987,IgA plasma cell,,,,,,,azimuth,sc_transcriptomics,
191,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,myeloid leukocyte,CL:0000766,myeloid leukocyte,monocyte,CL:0000576,monocyte,CD14-positive monocyte,CL:0001054,CD14-positive monocyte,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
192,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,mature T cell,CL:0002419,mature T cell,mature alpha-beta T cell,CL:0000791,mature alpha-beta T cell,"CD4-positive, alpha-beta T cell",CL:0000624,"CD4-positive, alpha-beta T cell",CD4-positive helper T cell,CL:0000492,CD4-positive helper T cell,T follicular helper cell,CL:0002038,T follicular helper cell,,,,azimuth,sc_transcriptomics,
193,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,respiratory tract epithelial cell,CL:0002368,respiratory tract epithelial cell,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
194,cell,CL:0000000,cell,precursor cell,CL:0011115,precursor cell,stem cell,CL:0000034,stem cell,somatic stem cell,CL:0000723,somatic stem cell,epithelial fate stem cell,CL:0000036,epithelial fate stem cell,basal cell,CL:0000646,basal cell,respiratory basal cell,CL:0002633,respiratory basal cell,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
195,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,secretory epithelial cell,CL:1100001,secretory epithelial cell,enteroendocrine cell,CL:0000164,enteroendocrine cell,pancreatic endocrine cell,CL:0008024,pancreatic endocrine cell,pancreatic epsilon cell,CL:0005019,pancreatic epsilon cell,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
196,cell,CL:0000000,cell,endothelial cell,CL:0000115,endothelial cell,endothelial cell of vascular tree,CL:0002139,endothelial cell of vascular tree,blood vessel endothelial cell,CL:0000071,blood vessel endothelial cell,endothelial cell of artery,CL:1000413,endothelial cell of artery,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
197,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,kidney collecting duct epithelial cell,CL:1000454,kidney collecting duct epithelial cell,kidney cortex collecting duct epithelial cell,CL:1000549,kidney cortex collecting duct epithelial cell,kidney cortex collecting duct intercalated cell,CL:1000715,kidney cortex collecting duct intercalated cell,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
198,cell,CL:0000000,cell,endothelial cell,CL:0000115,endothelial cell,endothelial cell of vascular tree,CL:0002139,endothelial cell of vascular tree,blood vessel endothelial cell,CL:0000071,blood vessel endothelial cell,microvascular endothelial cell,CL:2000008,microvascular endothelial cell,capillary endothelial cell,CL:0002144,capillary endothelial cell,kidney capillary endothelial cell,CL:1000892,kidney capillary endothelial cell,peritubular capillary endothelial cell,CL:1001033,peritubular capillary endothelial cell,,,,,,,,,,,,,azimuth,sc_transcriptomics,
199,cell,CL:0000000,cell,neural cell,CL:0002319,neural cell,neuron,CL:0000540,neuron,central nervous system neuron,CL:2000029,central nervous system neuron,interneuron,CL:0000099,interneuron,cortical interneuron,CL:0008031,cortical interneuron,cerebral cortex GABAergic interneuron,CL:0010011,cerebral cortex GABAergic interneuron,medial ganglionic eminence derived GABAergic interneuron,CL:4023069,medial ganglionic eminence derived GABAergic interneuron,sst GABAergic interneuron,CL:4023017,sst GABAergic interneuron,,,,,,,,,,azimuth,sc_transcriptomics,
200,cell,CL:0000000,cell,neural cell,CL:0002319,neural cell,neuron,CL:0000540,neuron,glutamatergic neuron,CL:0000679,glutamatergic neuron,near-projecting glutamatergic cortical neuron,CL:4023012,near-projecting glutamatergic cortical neuron,L5/6 near-projecting glutamatergic neuron,CL:4030067,L5/6 near-projecting glutamatergic neuron,L5/6 near-projecting glutamatergic neuron of the primary motor cortex,CL:4023043,L5/6 near-projecting glutamatergic neuron of the primary motor cortex,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
201,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,myeloid leukocyte,CL:0000766,myeloid leukocyte,macrophage,CL:0000235,macrophage,lung macrophage,CL:1001603,lung macrophage,alveolar macrophage,CL:0000583,alveolar macrophage,CCL3-positive alveolar macrophage,CL:4033041,CCL3-positive alveolar macrophage,,,,,,,,,,,,,azimuth,sc_transcriptomics,
202,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,respiratory tract epithelial cell,CL:0002368,respiratory tract epithelial cell,deuterosomal cell,CL:4033044,deuterosomal cell,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
203,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,lymphocyte of B lineage,CL:0000945,lymphocyte of B lineage,B cell,CL:0000236,B cell,"B cell, CD19-positive",CL:0001201,"B cell, CD19-positive",mature B cell,CL:0000785,mature B cell,preplasmablast,CL:4033065,preplasmablast,,,,,,,azimuth,sc_transcriptomics,
204,cell,CL:0000000,cell,endothelial cell,CL:0000115,endothelial cell,endothelial cell of vascular tree,CL:0002139,endothelial cell of vascular tree,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell of lymphatic vessel,cycling endothelial cell of lymphatic vessel,CL:4033079,cycling endothelial cell of lymphatic vessel,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
205,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,secretory epithelial cell,CL:1100001,secretory epithelial cell,enteroendocrine cell,CL:0000164,enteroendocrine cell,pancreatic endocrine cell,CL:0008024,pancreatic endocrine cell,pancreatic A cell,CL:0000171,pancreatic A cell,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
206,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,hepatocyte,CL:0000182,hepatocyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
207,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,myeloid cell,CL:0000763,myeloid cell,erythroid lineage cell,CL:0000764,erythroid lineage cell,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
208,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,myeloid leukocyte,CL:0000766,myeloid leukocyte,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
209,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,lymphocyte of B lineage,CL:0000945,lymphocyte of B lineage,B cell,CL:0000236,B cell,"B cell, CD19-positive",CL:0001201,"B cell, CD19-positive",mature B cell,CL:0000785,mature B cell,,,,,,,,,,azimuth,sc_transcriptomics,
210,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,mature T cell,CL:0002419,mature T cell,naive T cell,CL:0000898,naive T cell,,,,,,,,,,,,,azimuth,sc_transcriptomics,
211,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,mature T cell,CL:0002419,mature T cell,mature alpha-beta T cell,CL:0000791,mature alpha-beta T cell,alpha-beta intraepithelial T cell,CL:0000797,alpha-beta intraepithelial T cell,"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell",CL:0000935,"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell",,,,,,,azimuth,sc_transcriptomics,
212,cell,CL:0000000,cell,endothelial cell,CL:0000115,endothelial cell,endothelial cell of vascular tree,CL:0002139,endothelial cell of vascular tree,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell of lymphatic vessel,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
213,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,secretory epithelial cell,CL:1100001,secretory epithelial cell,enteroendocrine cell,CL:0000164,enteroendocrine cell,pancreatic endocrine cell,CL:0008024,pancreatic endocrine cell,pancreatic PP cell,CL:0002275,pancreatic PP cell,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
214,cell,CL:0000000,cell,endothelial cell,CL:0000115,endothelial cell,cardiac endothelial cell,CL:0010008,cardiac endothelial cell,endocardial cell,CL:0002350,endocardial cell,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
215,cell,CL:0000000,cell,connective tissue cell,CL:0002320,connective tissue cell,adipocyte,CL:0000136,adipocyte,subcutaneous adipocyte,CL:0002521,subcutaneous adipocyte,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
216,cell,CL:0000000,cell,precursor cell,CL:0011115,precursor cell,stem cell,CL:0000034,stem cell,multi fate stem cell,CL:0000048,multi fate stem cell,mesenchymal stem cell,CL:0000134,mesenchymal stem cell,mesenchymal stem cell of adipose tissue,CL:0002570,mesenchymal stem cell of adipose tissue,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
217,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,columnar/cuboidal epithelial cell,CL:0000075,columnar/cuboidal epithelial cell,multiciliated epithelial cell,CL:0005012,multiciliated epithelial cell,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
218,cell,CL:0000000,cell,endothelial cell,CL:0000115,endothelial cell,endothelial cell of vascular tree,CL:0002139,endothelial cell of vascular tree,blood vessel endothelial cell,CL:0000071,blood vessel endothelial cell,endothelial cell of artery,CL:1000413,endothelial cell of artery,pulmonary artery endothelial cell,CL:1001568,pulmonary artery endothelial cell,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
219,cell,CL:0000000,cell,neural cell,CL:0002319,neural cell,neuron,CL:0000540,neuron,central nervous system neuron,CL:2000029,central nervous system neuron,neuron of the forebrain,CL:0012001,neuron of the forebrain,cerebral cortex neuron,CL:0010012,cerebral cortex neuron,intratelencephalic-projecting glutamatergic cortical neuron,CL:4023008,intratelencephalic-projecting glutamatergic cortical neuron,L2/3-6 intratelencephalic projecting glutamatergic neuron,CL:4023040,L2/3-6 intratelencephalic projecting glutamatergic neuron,L5 intratelencephalic projecting glutamatergic neuron,CL:4030064,L5 intratelencephalic projecting glutamatergic neuron,L5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex,CL:4023049,L5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex,,,,,,,azimuth,sc_transcriptomics,
220,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,innate lymphoid cell,CL:0001065,innate lymphoid cell,group 1 innate lymphoid cell,CL:0001067,group 1 innate lymphoid cell,natural killer cell,CL:0000623,natural killer cell,cycling natural killer cell,CL:4033071,cycling natural killer cell,,,,,,,,,,azimuth,sc_transcriptomics,
221,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,innate lymphoid cell,CL:0001065,innate lymphoid cell,group 1 innate lymphoid cell,CL:0001067,group 1 innate lymphoid cell,natural killer cell,CL:0000623,natural killer cell,liver-resident natural killer cell,CL:4047101,liver-resident natural killer cell,,,,,,,,,,azimuth,sc_transcriptomics,
222,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,meso-epithelial cell,CL:0002078,meso-epithelial cell,mesothelial cell,CL:0000077,mesothelial cell,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
223,cell,CL:0000000,cell,neural cell,CL:0002319,neural cell,neuron associated cell,CL:0000095,neuron associated cell,glial cell,CL:0000125,glial cell,macroglial cell,CL:0000126,macroglial cell,astrocyte,CL:0000127,astrocyte,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
224,cell,CL:0000000,cell,neural cell,CL:0002319,neural cell,neuron associated cell,CL:0000095,neuron associated cell,glial cell,CL:0000125,glial cell,macroglial cell,CL:0000126,macroglial cell,oligodendrocyte,CL:0000128,oligodendrocyte,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
225,cell,CL:0000000,cell,connective tissue cell,CL:0002320,connective tissue cell,adipocyte,CL:0000136,adipocyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
226,cell,CL:0000000,cell,muscle cell,CL:0000187,muscle cell,non-striated muscle cell,CL:0008000,non-striated muscle cell,smooth muscle cell,CL:0000192,smooth muscle cell,kidney granular cell,CL:0000648,kidney granular cell,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
227,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,myeloid leukocyte,CL:0000766,myeloid leukocyte,monocyte,CL:0000576,monocyte,classical monocyte,CL:0000860,classical monocyte,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
228,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,mature T cell,CL:0002419,mature T cell,naive T cell,CL:0000898,naive T cell,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",,,,,,,,,,azimuth,sc_transcriptomics,
229,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,lymphocyte of B lineage,CL:0000945,lymphocyte of B lineage,B cell,CL:0000236,B cell,"B cell, CD19-positive",CL:0001201,"B cell, CD19-positive",mature B cell,CL:0000785,mature B cell,memory B cell,CL:0000787,memory B cell,class switched memory B cell,CL:0000972,class switched memory B cell,,,,azimuth,sc_transcriptomics,
230,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,mature T cell,CL:0002419,mature T cell,effector T cell,CL:0000911,effector T cell,"effector CD8-positive, alpha-beta T cell",CL:0001050,"effector CD8-positive, alpha-beta T cell",,,,,,,,,,azimuth,sc_transcriptomics,
231,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,innate lymphoid cell,CL:0001065,innate lymphoid cell,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
232,cell,CL:0000000,cell,connective tissue cell,CL:0002320,connective tissue cell,pericyte,CL:0000669,pericyte,lung pericyte,CL:0009089,lung pericyte,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
233,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,lymphocyte of B lineage,CL:0000945,lymphocyte of B lineage,B cell,CL:0000236,B cell,"B cell, CD19-positive",CL:0001201,"B cell, CD19-positive",mature B cell,CL:0000785,mature B cell,germinal center B cell,CL:0000844,germinal center B cell,tonsil germinal center B cell,CL:2000006,tonsil germinal center B cell,,,,azimuth,sc_transcriptomics,
234,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,nephron tubule epithelial cell,CL:1000494,nephron tubule epithelial cell,epithelial cell of distal tubule,CL:0002305,epithelial cell of distal tubule,kidney distal convoluted tubule epithelial cell,CL:1000849,kidney distal convoluted tubule epithelial cell,epithelial cell of early distal convoluted tubule,CL:4030016,epithelial cell of early distal convoluted tubule,,,,,,,,,,,,,azimuth,sc_transcriptomics,
235,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,endo-epithelial cell,CL:0002076,endo-epithelial cell,respiratory tract epithelial cell,CL:0002368,respiratory tract epithelial cell,epithelial cell of lower respiratory tract,CL:0002632,epithelial cell of lower respiratory tract,epithelial cell of tracheobronchial tree,CL:0002202,epithelial cell of tracheobronchial tree,bronchial epithelial cell,CL:0002328,bronchial epithelial cell,mucus secreting cell of bronchus submucosal gland,CL:4033022,mucus secreting cell of bronchus submucosal gland,,,,,,,,,,,,,azimuth,sc_transcriptomics,
236,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,hematopoietic precursor cell,CL:0008001,hematopoietic precursor cell,hematopoietic oligopotent progenitor cell,CL:0002032,hematopoietic oligopotent progenitor cell,common myeloid progenitor,CL:0000049,common myeloid progenitor,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
237,cell,CL:0000000,cell,connective tissue cell,CL:0002320,connective tissue cell,stromal cell,CL:0000499,stromal cell,fibroblast,CL:0000057,fibroblast,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
238,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,secretory epithelial cell,CL:1100001,secretory epithelial cell,enteroendocrine cell,CL:0000164,enteroendocrine cell,pancreatic endocrine cell,CL:0008024,pancreatic endocrine cell,type B pancreatic cell,CL:0000169,type B pancreatic cell,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
239,cell,CL:0000000,cell,neural cell,CL:0002319,neural cell,neuron,CL:0000540,neuron,efferent neuron,CL:0000527,efferent neuron,neuroendocrine cell,CL:0000165,neuroendocrine cell,type D enteroendocrine cell,CL:0000502,type D enteroendocrine cell,pancreatic D cell,CL:0000173,pancreatic D cell,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
240,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,mononuclear phagocyte,CL:0000113,mononuclear phagocyte,dendritic cell,CL:0000451,dendritic cell,plasmacytoid dendritic cell,CL:0000784,plasmacytoid dendritic cell,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
241,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,lymphocyte of B lineage,CL:0000945,lymphocyte of B lineage,antibody secreting cell,CL:0000946,antibody secreting cell,plasma cell,CL:0000786,plasma cell,,,,,,,,,,,,,azimuth,sc_transcriptomics,
242,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,lymphocyte of B lineage,CL:0000945,lymphocyte of B lineage,B cell,CL:0000236,B cell,"B cell, CD19-positive",CL:0001201,"B cell, CD19-positive",precursor B cell,CL:0000817,precursor B cell,,,,,,,,,,azimuth,sc_transcriptomics,
243,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,mature T cell,CL:0002419,mature T cell,effector T cell,CL:0000911,effector T cell,"effector CD4-positive, alpha-beta T cell",CL:0001044,"effector CD4-positive, alpha-beta T cell",,,,,,,,,,azimuth,sc_transcriptomics,
244,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,nephron tubule epithelial cell,CL:1000494,nephron tubule epithelial cell,epithelial cell of proximal tubule,CL:0002306,epithelial cell of proximal tubule,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
245,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,epithelial cell of nephron,CL:1000449,epithelial cell of nephron,nephron tubule epithelial cell,CL:1000494,nephron tubule epithelial cell,epithelial cell of distal tubule,CL:0002305,epithelial cell of distal tubule,kidney loop of Henle ascending limb epithelial cell,CL:1001016,kidney loop of Henle ascending limb epithelial cell,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,kidney loop of Henle thick ascending limb epithelial cell,kidney loop of Henle cortical thick ascending limb epithelial cell,CL:1001109,kidney loop of Henle cortical thick ascending limb epithelial cell,,,,,,,,,,azimuth,sc_transcriptomics,
246,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,kidney epithelial cell,CL:0002518,kidney epithelial cell,renal cortical epithelial cell,CL:0002584,renal cortical epithelial cell,kidney cortex tubule cell,CL:1000615,kidney cortex tubule cell,kidney connecting tubule epithelial cell,CL:1000768,kidney connecting tubule epithelial cell,kidney connecting tubule intercalated cell,CL:4030019,kidney connecting tubule intercalated cell,kidney connecting tubule alpha-intercalated cell,CL:4030020,kidney connecting tubule alpha-intercalated cell,,,,,,,,,,,,,azimuth,sc_transcriptomics,
247,cell,CL:0000000,cell,precursor cell,CL:0011115,precursor cell,progenitor cell,CL:0011026,progenitor cell,respiratory tract suprabasal cell,CL:4033048,respiratory tract suprabasal cell,,,,,,,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
248,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,mononuclear phagocyte,CL:0000113,mononuclear phagocyte,cycling mononuclear phagocyte,CL:4033078,cycling mononuclear phagocyte,,,,,,,,,,,,,,,,,,,azimuth,sc_transcriptomics,
249,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,mature T cell,CL:0002419,mature T cell,mature alpha-beta T cell,CL:0000791,mature alpha-beta T cell,"CD4-positive, alpha-beta T cell",CL:0000624,"CD4-positive, alpha-beta T cell",CD4-positive helper T cell,CL:0000492,CD4-positive helper T cell,T-helper 1 cell,CL:0000545,T-helper 1 cell,,,,celltypist,sc_transcriptomics,
250,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,gamma-delta T cell,CL:0000798,gamma-delta T cell,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
251,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,hematopoietic precursor cell,CL:0008001,hematopoietic precursor cell,hematopoietic lineage restricted progenitor cell,CL:0002031,hematopoietic lineage restricted progenitor cell,myeloid lineage restricted progenitor cell,CL:0000839,myeloid lineage restricted progenitor cell,granulocytopoietic cell,CL:0002191,granulocytopoietic cell,promyelocyte,CL:0000836,promyelocyte,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
252,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,T cell,CL:0000084,T cell,mature T cell,CL:0002419,mature T cell,mature alpha-beta T cell,CL:0000791,mature alpha-beta T cell,"CD8-positive, alpha-beta T cell",CL:0000625,"CD8-positive, alpha-beta T cell","CD8-positive, alpha-beta memory T cell",CL:0000909,"CD8-positive, alpha-beta memory T cell","effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CL:0001062,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",,,,celltypist,sc_transcriptomics,
253,cell,CL:0000000,cell,hematopoietic cell,CL:0000988,hematopoietic cell,leukocyte,CL:0000738,leukocyte,mononuclear leukocyte,CL:0000842,mononuclear leukocyte,lymphocyte,CL:0000542,lymphocyte,innate lymphoid cell,CL:0001065,innate lymphoid cell,group 2 innate lymphoid cell,CL:0001069,group 2 innate lymphoid cell,"group 2 innate lymphoid cell, human",CL:0001081,"group 2 innate lymphoid cell, human",,,,,,,,,,,,,celltypist,sc_transcriptomics,
254,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,secretory epithelial cell,CL:1100001,secretory epithelial cell,glandular secretory epithelial cell,CL:0000150,glandular secretory epithelial cell,acinar cell,CL:0000622,acinar cell,pancreatic acinar cell,CL:0002064,pancreatic acinar cell,,,,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
255,cell,CL:0000000,cell,epithelial cell,CL:0000066,epithelial cell,secretory epithelial cell,CL:1100001,secretory epithelial cell,enteroendocrine cell,CL:0000164,enteroendocrine cell,pancreatic endocrine cell,CL:0008024,pancreatic endocrine cell,pancreatic PP cell,CL:0002275,pancreatic PP cell,,,,,,,,,,,,,,,,,,,celltypist,sc_transcriptomics,
