sex,ann_finest_level,clid,mapping_status,author_cohort_size,azimuth_count,pan_human_count,both_same_cell_count,azimuth_only_count,pan_human_only_count,union_count
Female,Adventitial fibroblasts,CL:0000057,mapped_clid,1243,0,1023,0,0,1023,1023
Female,Adventitial fibroblasts,CL:0000083,mapped_clid,1243,0,1,0,0,1,1
Female,Adventitial fibroblasts,CL:0000097,mapped_clid,1243,0,3,0,0,3,3
Female,Adventitial fibroblasts,CL:0000158,mapped_clid,1243,0,2,0,0,2,2
Female,Adventitial fibroblasts,CL:0000186,mapped_clid,1243,6,30,3,3,27,33
Female,Adventitial fibroblasts,CL:0000192,mapped_clid,1243,1,0,0,1,0,1
Female,Adventitial fibroblasts,CL:0000322,mapped_clid,1243,1,0,0,1,0,1
Female,Adventitial fibroblasts,CL:0000625,mapped_clid,1243,3,0,0,3,0,3
Female,Adventitial fibroblasts,CL:0000669,mapped_clid,1243,0,1,0,0,1,1
Female,Adventitial fibroblasts,CL:0000765,mapped_clid,1243,0,4,0,0,4,4
Female,Adventitial fibroblasts,CL:0000786,mapped_clid,1243,1,0,0,1,0,1
Female,Adventitial fibroblasts,CL:0000792,mapped_clid,1243,0,1,0,0,1,1
Female,Adventitial fibroblasts,CL:0000814,mapped_clid,1243,0,6,0,0,6,6
Female,Adventitial fibroblasts,CL:0000860,mapped_clid,1243,2,0,0,2,0,2
Female,Adventitial fibroblasts,CL:0000909,mapped_clid,1243,0,3,0,0,3,3
Female,Adventitial fibroblasts,CL:0001054,mapped_clid,1243,0,2,0,0,2,2
Female,Adventitial fibroblasts,CL:0002062,mapped_clid,1243,3,2,2,1,0,3
Female,Adventitial fibroblasts,CL:0002063,mapped_clid,1243,1,0,0,1,0,1
Female,Adventitial fibroblasts,CL:0002138,mapped_clid,1243,0,2,0,0,2,2
Female,Adventitial fibroblasts,CL:0002144,mapped_clid,1243,0,1,0,0,1,1
Female,Adventitial fibroblasts,CL:0002357,mapped_clid,1243,0,2,0,0,2,2
Female,Adventitial fibroblasts,CL:0002399,mapped_clid,1243,0,1,0,0,1,1
Female,Adventitial fibroblasts,CL:0002543,mapped_clid,1243,0,2,0,0,2,2
Female,Adventitial fibroblasts,CL:0002553,mapped_clid,1243,7,0,0,7,0,7
Female,Adventitial fibroblasts,CL:0009086,mapped_clid,1243,1,0,0,1,0,1
Female,Adventitial fibroblasts,CL:1000413,mapped_clid,1243,0,1,0,0,1,1
Female,Adventitial fibroblasts,CL:1000493,mapped_clid,1243,2,0,0,2,0,2
Female,Adventitial fibroblasts,CL:1001568,mapped_clid,1243,1,0,0,1,0,1
Female,Adventitial fibroblasts,CL:1001603,mapped_clid,1243,2,0,0,2,0,2
Female,Adventitial fibroblasts,CL:4023026,mapped_clid,1243,0,1,0,0,1,1
Female,Adventitial fibroblasts,CL:4028002,mapped_clid,1243,1,0,0,1,0,1
